Sentence_1,Sentence_2
ಹೂಸ್ಟನ್ ಟೆಕ್ಸಾನ್ಸ್ ಮುಖ್ಯ ತರಬೇತುದಾರ ಗ್ಯಾರಿ ಕುಬಿಯಾಕ್ ಅವರು ಆಟದಲ್ಲಿ ಕುಸಿದುಬಿದ್ದ ನಂತರ ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಾಗಿದ್ದಾರೆ,ಕುಸಿತದ ನಂತರ ಟೆಕ್ಸಾನ್ಸ್ ತರಬೇತುದಾರ ಗ್ಯಾರಿ ಕುಬಿಯಾಕ್ ಸ್ಥಿರ ಸ್ಥಿತಿಯಲ್ಲಿದ್ದಾರೆ
ಫ್ಲೋರಿಡಾ ಕರಾವಳಿಯಲ್ಲಿ ದೋಣಿ ಮುಳುಗಿ 4 ಮಂದಿ ಸಾವು,ಸೇಂಟ್ ವಿನ್ಸೆಂಟ್ ದ್ವೀಪದಲ್ಲಿ ಭಾರೀ ಮಳೆಗೆ 8 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಅಂಕಿತ್ ಚವಾಣ್ ಮದುವೆಗೆ ಷರತ್ತುಬದ್ಧ ಜಾಮೀನು ಮಂಜೂರು ಮಾಡಿದರು,ಅಂಕಿತ್ ಚವಾಣ್ ಮದುವೆಯಾಗಲು ಜಾಮೀನು ಮಂಜೂರು ಮಾಡಿದ್ದಾನೆ
ಮಾಜಿ ವರ್ಜೀನಿಯಾ ಗವರ್ನರ್ ಬಾಬ್ ಮೆಕ್‌ಡೊನೆಲ್ ವಿರುದ್ಧ ಭ್ರಷ್ಟಾಚಾರದ ಆರೋಪ ಹೊರಿಸಲಾಗಿದೆ,ವರ್ಜೀನಿಯಾದ ಮಾಜಿ ಗವರ್ನರ್ ಭ್ರಷ್ಟಾಚಾರದ ಆರೋಪ ಹೊತ್ತಿರುವ ಪತ್ನಿ ಬಾಬ್ ಮೆಕ್‌ಡೊನೆಲ್
ದಕ್ಷಿಣ ಕೊರಿಯಾದ ಸೈನಿಕರು ಉತ್ತರಕ್ಕೆ ಗಡಿ ದಾಟಲು ಪ್ರಯತ್ನಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿಯನ್ನು ಕೊಂದರು,ಉತ್ತರ ಕೊರಿಯಾ ದಕ್ಷಿಣಕ್ಕೆ ಕೊನೆಯ ಉಳಿದಿರುವ ಹಾಟ್‌ಲೈನ್ ಅನ್ನು ಮುಚ್ಚಿದೆ
ಜಪಾನ್‌ನ ಹೊನ್ಶುದಲ್ಲಿ 6.3 ತೀವ್ರತೆಯ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ,ಸಾಂಟಾ ಕ್ರೂಜ್ ದ್ವೀಪಗಳಲ್ಲಿ 6.0 ತೀವ್ರತೆಯ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ
ಈಜಿಪ್ಟ್‌ನಲ್ಲಿ ಮಾದಕವಸ್ತು ಕಳ್ಳಸಾಗಣೆಗಾಗಿ ಐವರು ವಿದೇಶಿಯರಿಗೆ ಮರಣದಂಡನೆ ವಿಧಿಸಲಾಗಿದೆ,ಮಾದಕವಸ್ತು ಕಳ್ಳಸಾಗಣೆ ಆರೋಪದ ಮೇಲೆ ಈಜಿಪ್ಟ್ ಪಾಕಿಸ್ತಾನಿ 5 ಮಂದಿಗೆ ಮರಣದಂಡನೆ ವಿಧಿಸಿದೆ
ಕಾರ್ಡಶಿಯಾನ್ ವಿಚ್ಛೇದನ ವಿಚಾರಣೆಗೆ ಸಿದ್ಧವಾಗಿದೆ,ಬೆಲೆ ಸಮರಕ್ಕೆ ಸಿದ್ಧವಾಗಿರುವ ಹಾರ್ಡ್-ಹಿಟ್ ಹೋಟೆಲ್‌ಗಳು
ಯುಎಸ್ ಅಧ್ಯಕ್ಷ ರೊನಾಲ್ಡ್ ರೇಗನ್ ಅವರ ಮಾಜಿ ವಕ್ತಾರರು ನಿಧನರಾದರು,ಮಾಜಿ ರೇಗನ್ ವಕ್ತಾರ ಲ್ಯಾರಿ ಸ್ಪೀಕ್ಸ್ 74 ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ನಿಧನರಾದರು
"ನೈಋತ್ಯ ಚೀನಾ ರಸ್ತೆ ಅಪಘಾತದಲ್ಲಿ 10 ಸಾವು, ಐವರು ಗಾಯಗೊಂಡಿದ್ದಾರೆ","ಪೂರ್ವ ಚೀನಾ ರಸ್ತೆ ಅಪಘಾತದಲ್ಲಿ 1 ಸಾವು, 39 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ"
ಐಕಾನ್ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಉಳಿದಿರುವಂತೆ ಒಬಾಮಾ ಮಂಡೇಲಾ ಕುಟುಂಬವನ್ನು ಭೇಟಿಯಾದರು,ಮಂಡೇಲಾ ಕುಟುಂಬವನ್ನು ಭೇಟಿ ಮಾಡಲು ಒಬಾಮಾ ಆಸ್ಪತ್ರೆಗೆ ಭೇಟಿ ನೀಡುವುದಿಲ್ಲ
ಮಹಿಳೆಯರು ಹೆಚ್ಚಿನ ಕಾರು ವಿಮಾ ಕಂತುಗಳನ್ನು ಎದುರಿಸಬೇಕಾಗುತ್ತದೆ,ಮಹಿಳಾ ಚಾಲಕರು ವಿಮಾ ಪ್ರೀಮಿಯಂ ಹೆಚ್ಚಳವನ್ನು ಎದುರಿಸಬೇಕಾಗುತ್ತದೆ
ದುರ್ಬಲ ಗಳಿಕೆಗಳು ಆರಂಭಿಕ ವಹಿವಾಟಿನಲ್ಲಿ US ಸ್ಟಾಕ್‌ಗಳನ್ನು ಕಡಿಮೆಗೊಳಿಸುತ್ತವೆ,ದುರ್ಬಲ ಗಳಿಕೆಗಳು ವಾಲ್ ಸ್ಟ್ರೀಟ್‌ನಲ್ಲಿ ಷೇರುಗಳನ್ನು ಕಡಿಮೆಗೊಳಿಸುತ್ತವೆ
ಚೀನಾ ಯುಎಸ್ ನಿಯಂತ್ರಕರಿಗೆ ಆಡಿಟ್ ದಾಖಲೆಗಳಿಗೆ ಪ್ರವೇಶವನ್ನು ನೀಡುತ್ತದೆ,ತೈವಾನ್‌ಗೆ ಯುಎಸ್ ಶಸ್ತ್ರಾಸ್ತ್ರ ಮಾರಾಟವನ್ನು ಚೀನಾ ವಿರೋಧಿಸುತ್ತದೆ
ಹೆಲಿಕಾಪ್ಟರ್ ಪಬ್‌ಗೆ ಅಪ್ಪಳಿಸಿ ಮೂವರು ಸಾವನ್ನಪ್ಪಿರುವ ಶಂಕೆ,ಹೆಲಿಕಾಪ್ಟರ್ ಪಬ್ ಅಪಘಾತದಲ್ಲಿ ಮೂವರು ಸಾವನ್ನಪ್ಪಿರುವ ಶಂಕೆ ವ್ಯಕ್ತವಾಗಿದೆ
ಕ್ರಿಮಿನಲ್ ಚಟುವಟಿಕೆಗಾಗಿ ಚೀನಾದ ಜನರಲ್ ಮಗನಿಗೆ 10 ವರ್ಷಗಳ ಜೈಲು ಶಿಕ್ಷೆ,ಚೀನಾ ಸೇನೆಯ ಗಾಯಕರ ಮಗನಿಗೆ ಅಪರಾಧಕ್ಕಾಗಿ 10 ವರ್ಷ ಜೈಲು
ಆರಂಭಿಕ ವಹಿವಾಟಿನಲ್ಲಿ ಡಾಲರ್ ವಿರುದ್ಧ ರೂಪಾಯಿ 8 ಪೈಸೆ ಕುಸಿತ ಕಂಡಿದೆ,ಆರಂಭಿಕ ವಹಿವಾಟಿನಲ್ಲಿ ಡಾಲರ್ ಎದುರು ರೂಪಾಯಿ 22 ಪೈಸೆ ಏರಿಕೆ ಕಂಡಿದೆ
ಈಜಿಪ್ಟ್ ಸಂಸತ್ತಿನ ಚುನಾವಣೆಗೆ ಮೊದಲು ಅಧ್ಯಕ್ಷೀಯ ಚುನಾವಣೆಗಳನ್ನು ನಡೆಸಲು,ಈಜಿಪ್ಟ್‌ನ ಹಂಗಾಮಿ ಅಧ್ಯಕ್ಷರು ಹೊಸ ಸಚಿವ ಸಂಪುಟದಲ್ಲಿ ಪ್ರಮಾಣ ವಚನ ಸ್ವೀಕರಿಸಿದರು
ಇಸ್ರೇಲ್‌ನ ಪೆರೆಸ್ ಶಾಂತಿ ಮಾತುಕತೆಗೆ ಮರಳಲು ಒತ್ತಾಯಿಸುತ್ತಾನೆ,ಇಸ್ರೇಲ್‌ನ ಪೆರೆಸ್ ಶಾಂತಿ ಮಾತುಕತೆಗೆ ಮರಳಲು ಕರೆ ನೀಡಿದರು
ದಕ್ಷಿಣ ಆಫ್ರಿಕನ್ನರು ಮಂಡೇಲಾ ಸಮಾಧಿ ಎಂದು ಶೋಕಿಸುತ್ತಾರೆ,ಮಂಡೇಲಾ ಅವರ ಅಂತ್ಯಕ್ರಿಯೆಯನ್ನು ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ ನಡೆಸಿತು
ಭಾರತೀಯ ಷೇರುಗಳು ಕೆಳಮಟ್ಟದಲ್ಲಿ ತೆರೆದಿವೆ,ಭಾರತೀಯ ಷೇರುಗಳು ಕುಸಿತ ಕಂಡಿವೆ
ಏಂಜಲೀನಾ ಜೋಲೀ ಅವರ ಚಿಕ್ಕಮ್ಮ ಕ್ಯಾನ್ಸರ್‌ನಿಂದ ಸಾಯುತ್ತಾರೆ,ಏಂಜಲೀನಾ ಜೋಲೀ ಮತ್ತು ಕ್ಯಾನ್ಸರ್ ಬಗ್ಗೆ ಸಂಕೀರ್ಣ ಸತ್ಯ
ಬೆಲ್‌ಫಾಸ್ಟ್‌ನಲ್ಲಿ ಪೊಲೀಸರೊಂದಿಗೆ ಸಂಕ್ಷಿಪ್ತ ಘರ್ಷಣೆಗಳು,ಟುನೀಶಿಯಾದಲ್ಲಿ ಶೋಕಿಗಳು ಪೊಲೀಸರೊಂದಿಗೆ ಘರ್ಷಣೆ ನಡೆಸಿದರು
ವೆನೆಜುವೆಲಾದ ಹ್ಯೂಗೋ ಚಾವೆಜ್ ಕ್ಯಾನ್ಸರ್ ನಿಂದ ನಿಧನರಾದರು,ವೆನೆಜುವೆಲಾದ ಅಧ್ಯಕ್ಷ ಹ್ಯೂಗೋ ಚಾವೆಜ್ 58 ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ಕ್ಯಾನ್ಸರ್ ನಿಂದ ನಿಧನರಾದರು
ಯುಎಸ್ ಅಧಿಕಾರಿಗಳು ರಿಸಿನ್ ತನಿಖೆಯಲ್ಲಿ ವ್ಯಕ್ತಿಯನ್ನು ಆರೋಪಿಸಿದ್ದಾರೆ,ದಕ್ಷಿಣ ಆಫ್ರಿಕಾದ ಪೊಲೀಸರು ಕೃಷಿ ಪ್ರತಿಭಟನೆಯಲ್ಲಿ 50 ಜನರನ್ನು ಬಂಧಿಸಿದರು
ಜಾಂಬಿಯಾದ ಮಾಜಿ ಅಧ್ಯಕ್ಷ ಬಂಧನ,ಜಾಂಬಿಯಾ ಮಾಜಿ ಅಧ್ಯಕ್ಷ ರೂಪಯ್ಯ ಬಂದಾ ಬಂಧನ
"ಬಾಂಗ್ಲಾದೇಶ ಕಟ್ಟಡಗಳ ಸಂಖ್ಯೆ 352 ಕ್ಕೆ ಏರಿದ್ದು, ನಾಲ್ವರನ್ನು ಬಂಧಿಸಲಾಗಿದೆ",ಬಾಂಗ್ಲಾದೇಶ ಕಟ್ಟಡದ ಸಂಖ್ಯೆ 372 ತಲುಪುತ್ತಿದ್ದಂತೆ ಮಾಲೀಕರ ಬಂಧನ
26 ಪ್ಯಾಲೆಸ್ತೀನ್ ಕೈದಿಗಳನ್ನು ಇಸ್ರೇಲಿ ಜೈಲಿನಿಂದ ಬಿಡುಗಡೆ ಮಾಡಲಾಗಿದೆ,"ಪ್ಯಾಲೇಸ್ಟಿನಿಯನ್ ಖೈದಿ ಕ್ಯಾನ್ಸರ್ ನಿಂದ ಸಾಯುತ್ತಾನೆ, ಇಸ್ರೇಲ್ ಜೈಲುಗಳಲ್ಲಿ ಅಶಾಂತಿ"
ಕಾಶ್ಮೀರದ ನಿಯಂತ್ರಣ ರೇಖೆಯಲ್ಲಿ ಭಾರತೀಯ ಸೈನಿಕರು ಪಾಕಿಸ್ತಾನಿ ಸೈನಿಕನನ್ನು ಕೊಂದಿದ್ದಾರೆ,ಭಾರತೀಯ ಸೈನಿಕರು ಪಾಕಿಸ್ತಾನದ ಸೇನಾ ಪೋಸ್ಟ್ ಮೇಲೆ ದಾಳಿ ನಡೆಸಿದ್ದಾರೆ
"ಸಿರಿಯಾ ಆಡಳಿತವು 5,000 ಜನರನ್ನು ಸ್ಥಳಾಂತರಿಸುವುದಾಗಿ ಹೇಳಿಕೊಂಡಿದೆ",ಸಿರಿಯಾ ಸೇನೆಯು ತೆರವು ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಮುಂದುವರೆಸಿದೆ
ಫ್ಯಾಷನ್ ಡಿಸೈನರ್ ಲಿಲ್ಲಿ ಪುಲಿಟ್ಜರ್ ನಿಧನ,"ಡಿಸೈನರ್, ಸಮಾಜವಾದಿ ಲಿಲ್ಲಿ ಪುಲಿಟ್ಜರ್ 81 ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ನಿಧನರಾದರು"
ಬಂದೂಕುಧಾರಿಗಳು ಗ್ರಾಮದ ಮೇಲೆ ದಾಳಿ ನಡೆಸಿದ್ದರಿಂದ ಹನ್ನೆರಡು ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದರು,ಭಾರತದಲ್ಲಿ ನಡೆದ ಸ್ಫೋಟಗಳಲ್ಲಿ ಐವರು ಬಲಿ
ಬ್ರೆಜಿಲಿಯನ್ ನಾಯಕ ಬೀದಿ ಪ್ರತಿಭಟನೆಗಳ ಕುರಿತು ಬಿಕ್ಕಟ್ಟಿನ ಮಾತುಕತೆಗಳನ್ನು ನಡೆಸುತ್ತಾನೆ,ಬ್ರೆಜಿಲ್ ನಾಯಕ ಸುಧಾರಣಾ ಮತದಾನದ ಭರವಸೆ
"ಪಶ್ಚಿಮ ಚೀನಾದಲ್ಲಿ ಪ್ರಬಲ ಭೂಕಂಪ ಸಂಭವಿಸಿದ್ದು, 47 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ",ಪಶ್ಚಿಮ ಚೀನಾದಲ್ಲಿ ಸಂಭವಿಸಿದ ಪ್ರಬಲ ಭೂಕಂಪದಲ್ಲಿ ಕನಿಷ್ಠ 75 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಹೊಸ ಜಪಾನ್ ಸರ್ಕಾರವು ಪೆಸಿಫಿಕ್ ವ್ಯಾಪಾರ ಒಪ್ಪಂದಕ್ಕೆ ಸೇರುವ ಸುಳಿವು: ವರದಿ,ಜಪಾನ್ ಮತ್ತು ಯುಎಸ್ ಪ್ರಾದೇಶಿಕ ವ್ಯಾಪಾರ ಒಪ್ಪಂದಕ್ಕೆ ಸಂಬಂಧಿಸಿ ಮಾತುಕತೆ ನಡೆಸುತ್ತವೆ
ಆಶ್ರಯ ನೀಡಿದ್ದಕ್ಕಾಗಿ ಸ್ನೋಡೆನ್ ರಷ್ಯಾಕ್ಕೆ ಧನ್ಯವಾದಗಳು,ಆಶ್ರಯ ನೀಡಿದ್ದಕ್ಕಾಗಿ ಸ್ನೋಡೆನ್ ರಷ್ಯಾಕ್ಕೆ ಧನ್ಯವಾದಗಳು
900 ವಸಾಹತು ಮನೆಗಳನ್ನು ನಿರ್ಮಿಸುವ ಯೋಜನೆಯನ್ನು ಇಸ್ರೇಲ್ ಮುನ್ನಡೆಸುತ್ತದೆ,ಇಸ್ರೇಲ್ ಹೊಸ ವಸಾಹತುಗಾರರ ಮನೆಗಳ ಯೋಜನೆಗಳನ್ನು ಅನಾವರಣಗೊಳಿಸುತ್ತದೆ
ಫ್ರೆಂಚ್ ಪಡೆಗಳು ಪ್ರಮುಖ ಮಾಲಿ ಪಟ್ಟಣವನ್ನು ವಶಪಡಿಸಿಕೊಂಡವು,ಫ್ರೆಂಚ್ ಪಡೆಗಳು ಪ್ರಮುಖ ಪಟ್ಟಣವನ್ನು ವಶಪಡಿಸಿಕೊಂಡವು
"ವೆಬ್‌ಸೈಟ್‌ಗಳು ಅಸಹ್ಯ ಕಾಮೆಂಟ್‌ಗಳು, ಅನಾಮಧೇಯತೆಯ ವಿರುದ್ಧ ಹೋರಾಡುತ್ತವೆ",ವೆಬ್‌ಸೈಟ್‌ಗಳು ಅನಾಮಧೇಯತೆಯನ್ನು ತೆಗೆದುಹಾಕುವ ಮೂಲಕ ಅಸಹ್ಯವಾದ ಕಾಮೆಂಟ್‌ಗಳ ವಿರುದ್ಧ ಹೋರಾಡುತ್ತವೆ
ಬೋಸ್ಟನ್ ಬಾಂಬ್ ಸ್ಫೋಟದ ಶಂಕಿತನನ್ನು ವರ್ಜೀನಿಯಾದಲ್ಲಿ ಸಮಾಧಿ ಮಾಡಲಾಗಿದೆ,ಬೋಸ್ಟನ್ ಬಾಂಬ್ ಶಂಕಿತನನ್ನು ವರ್ಜೀನಿಯಾ ಸ್ಮಶಾನದಲ್ಲಿ ಸಮಾಧಿ ಮಾಡಲಾಗಿದೆ
ಒಬಾಮಾ ಉದ್ಘಾಟನೆಗೆ ಯುಎಸ್ ಸಜ್ಜಾಗಿದೆ,ಇರಾನ್ ಉದ್ಘಾಟನೆಗೆ ಮುನ್ನ US ಹೌಸ್ ಹೊಸ ನಿರ್ಬಂಧಗಳನ್ನು ಬೆಂಬಲಿಸುತ್ತದೆ
"ಪಾಕಿಸ್ತಾನದ ಸ್ಫೋಟದಲ್ಲಿ 5 ಸಾವು, 50 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ","ಬೋಸ್ಟನ್ ಸ್ಫೋಟದಲ್ಲಿ 3 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ, 138 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ"
ನ್ಯಾಷನಲ್ ಮಾಲ್‌ನಲ್ಲಿ ವ್ಯಕ್ತಿ ಬೆಂಕಿ ಹಚ್ಚಿಕೊಂಡಿದ್ದಾನೆ,ವಾಷಿಂಗ್ಟನ್‌ನ ನ್ಯಾಷನಲ್ ಮಾಲ್‌ನಲ್ಲಿ ವ್ಯಕ್ತಿಯೊಬ್ಬ ಬೆಂಕಿ ಹಚ್ಚಿಕೊಂಡಿದ್ದಾನೆ
ಗುಂಡಿನ ದಾಳಿಯ ನಂತರ US ಕ್ಯಾಪಿಟಲ್ ಹಿಲ್ ಲಾಕ್‌ಡೌನ್‌ನಲ್ಲಿದೆ,ಲೈವ್ ವೀಕ್ಷಿಸಿ: ಗುಂಡಿನ ದಾಳಿಯ ವರದಿಗಳ ನಂತರ US ಕ್ಯಾಪಿಟಲ್ ಲಾಕ್‌ಡೌನ್ ಆಗಿದೆ
"NW ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಾಂಬ್ ಸ್ಫೋಟದಲ್ಲಿ 12 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ, 25 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ","NW ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಸ್ಫೋಟದಲ್ಲಿ 6 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ, 12 ಮಂದಿ ಗಾಯಗೊಂಡಿದ್ದಾರೆ"
ಚೀನಾದ ನ್ಯಾಯಾಲಯವು ಮೆಕಾಂಗ್ ಕೊಲೆಗಾರರಿಗೆ ಮರಣದಂಡನೆಯನ್ನು ಎತ್ತಿಹಿಡಿದಿದೆ,ಮೆಕಾಂಗ್ ಕೊಲೆಗಾರರಿಗೆ ನ್ಯಾಯಾಲಯವು ಮರಣದಂಡನೆಯನ್ನು ಎತ್ತಿಹಿಡಿದಿದೆ
ಪಾಕಿಸ್ತಾನದ ಶಾಲಾ ಬಸ್ ಮೇಲೆ ಗ್ಯಾಸ್ ಸಿಲಿಂಡರ್ ಸ್ಫೋಟಗೊಂಡು 17 ಮಂದಿ ಸಾವು,ಮಾರಣಾಂತಿಕ ಗ್ಯಾಸ್ ಸಿಲಿಂಡರ್ ಸ್ಫೋಟವು ಪಾಕಿಸ್ತಾನದ ಶಾಲಾ ಬಸ್‌ಗೆ ಅಪ್ಪಳಿಸಿತು
ಇಸ್ರೇಲಿ ಪಡೆಗಳು ಪಶ್ಚಿಮ ದಂಡೆಯಲ್ಲಿ 5 ಪ್ಯಾಲೆಸ್ಟೀನಿಯರನ್ನು ಬಂಧಿಸಿವೆ,ಇಸ್ರೇಲಿ ಪಡೆಗಳು ಪಶ್ಚಿಮ ದಂಡೆಯಾದ್ಯಂತ ಐದು ಪ್ಯಾಲೆಸ್ಟೀನಿಯನ್ನರನ್ನು ಬಂಧಿಸಿವೆ
ಜರ್ಮನಿಯ ಚುನಾವಣೆಯಲ್ಲಿ ಏಂಜೆಲಾ ಮರ್ಕೆಲ್ ಮೂರನೇ ಬಾರಿಗೆ ಗೆದ್ದಿದ್ದಾರೆ,ಜರ್ಮನಿ ಚುನಾವಣೆಯಲ್ಲಿ ಮರ್ಕೆಲ್ ದೊಡ್ಡ ಗೆಲುವು ಸಾಧಿಸಿದ್ದಾರೆ
ದಕ್ಷಿಣ ಕೊರಿಯಾದ ಕಾರ್ಮಿಕರು ಜಂಟಿ ಕಾರ್ಖಾನೆ ವಲಯವನ್ನು ತೊರೆಯಲು ಪ್ರಾರಂಭಿಸುತ್ತಾರೆ,ದಕ್ಷಿಣ ಕೊರಿಯಾದ ಕಾರ್ಮಿಕರು ಜಂಟಿ ಕಾರ್ಖಾನೆ ವಲಯವನ್ನು ತೊರೆಯಲು ಸಿದ್ಧರಾಗಿದ್ದಾರೆ
ರಷ್ಯಾದ ರೈಲು ನಿಲ್ದಾಣದಲ್ಲಿ ಆತ್ಮಾಹುತಿ ಬಾಂಬ್ ದಾಳಿಯಲ್ಲಿ 15 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದರು ಮತ್ತು ಹಲವಾರು ಮಂದಿ ಗಾಯಗೊಂಡರು,ರಷ್ಯಾದ ರೈಲು ನಿಲ್ದಾಣದಲ್ಲಿ ಆತ್ಮಾಹುತಿ ಬಾಂಬ್ ದಾಳಿ 14 ಮಂದಿ ಸಾವು
ಕಾಂಬೋಡಿಯಾದ ವಿರೋಧ ಪಕ್ಷದ ನಾಯಕ ಸ್ಯಾಮ್ ರೈನ್ಸಿ ಚುನಾವಣೆಯನ್ನು ಪ್ರಚೋದಿಸಲು ಹಿಂದಿರುಗಿದ್ದಾರೆ,ಚುನಾವಣಾ ಬಿಡ್‌ನಲ್ಲಿ ಕಾಂಬೋಡಿಯಾ ವಿರೋಧ ಪಕ್ಷದ ಮುಖ್ಯಸ್ಥರು ಸಂಸತ್ತಿನತ್ತ ತಿರುಗಿದ್ದಾರೆ
ಒಬಾಮಾ ಸುಂಟರಗಾಳಿಯಿಂದ ಧ್ವಂಸಗೊಂಡ ಒಕ್ಲಹೋಮಕ್ಕೆ ಪ್ರಯಾಣಿಸುತ್ತಾರೆ,ಒಬಾಮಾ ಸುಂಟರಗಾಳಿ ಒಕ್ಲಹೋಮಕ್ಕೆ ಭೇಟಿ ನೀಡಿದರು
ಬಿಡೆನ್ ಯುಎಸ್-ಚೀನಾ ಸಂಬಂಧಗಳಲ್ಲಿ ನಂಬಿಕೆಗೆ ಕರೆ ನೀಡುತ್ತಾರೆ,ಬಿಡೆನ್ ಚೀನಾದೊಂದಿಗೆ 'ಹೊಸ ಸಂಬಂಧ' ನಿರ್ಮಿಸುವಲ್ಲಿ ನಂಬಿಕೆಗೆ ಕರೆ ನೀಡುತ್ತಾರೆ
ಕೆರ್ರಿ: $4b ಪ್ಯಾಲೇಸ್ಟಿನಿಯನ್ ಆರ್ಥಿಕ ಯೋಜನೆ ಕೆಲಸ ಮಾಡಬಹುದು,ಕೆರ್ರಿ: ಇರಾನ್ ಜೊತೆ ಪರಮಾಣು ಮಾತುಕತೆಯಲ್ಲಿ ಇನ್ನೂ ಯಾವುದೇ ಒಪ್ಪಂದವಿಲ್ಲ
ಸೆಂಟ್ರಲ್ ಆಫ್ರಿಕನ್ ರಿಪಬ್ಲಿಕ್ ಹೋರಾಟದಲ್ಲಿ ಹತ್ತಾರು ಜನರು ಸತ್ತರು,ಮಧ್ಯ ಆಫ್ರಿಕನ್ ಗಣರಾಜ್ಯದಲ್ಲಿ ಘರ್ಷಣೆಯ ನಂತರ 98 ಸಾವು
ಪೊಲೀಸ್ ಹಿಂಸಾಚಾರವನ್ನು ವಿರೋಧಿಸಿ 2 ಟರ್ಕಿಶ್ ಒಕ್ಕೂಟಗಳು ಸೋಮವಾರ ಮುಷ್ಕರಕ್ಕೆ ಕರೆ ನೀಡಿವೆ,ಟರ್ಕಿ ಅಶಾಂತಿ: ಪೊಲೀಸ್ ದಬ್ಬಾಳಿಕೆ ವಿರುದ್ಧ ಒಕ್ಕೂಟಗಳು ಮುಷ್ಕರಕ್ಕೆ ಕರೆ ನೀಡಿವೆ
ನೈಜೀರಿಯಾದ ತೈಲ ಪ್ರದೇಶದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು ಪೊಲೀಸ್ ದೋಣಿಗೆ ಹೊಂಚುದಾಳಿ ನಡೆಸಿದರು,ಸುಡಾನ್ ಪೊಲೀಸರು ಮಾನವ ಹಕ್ಕುಗಳ ಆಯೋಗದ ಪ್ರತಿಭಟನೆಯನ್ನು ತಡೆದರು
"ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ""ಒಳಗಿನ"" ದಾಳಿಯಲ್ಲಿ ಇಬ್ಬರು ಯುಎಸ್ ಸೈನಿಕರು ಕೊಲ್ಲಲ್ಪಟ್ಟರು",NW ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಾಂಬ್ ದಾಳಿಯಲ್ಲಿ 8 ಸೈನಿಕರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ಫೆರರ್ ಆಸ್ಟ್ರೇಲಿಯನ್ ಓಪನ್ ಕ್ವಾರ್ಟರ್-ಫೈನಲ್‌ಗೆ ಪ್ರಯಾಣ ಬೆಳೆಸಿದರು,ಫೆರರ್ ನಿಶಿಕೋರಿಯನ್ನು ಸೋಲಿಸಿ ಆಸ್ಟ್ರೇಲಿಯನ್ ಓಪನ್ ಕ್ವಾರ್ಟರ್ ಫೈನಲ್‌ಗೆ ಪ್ರವೇಶಿಸಿದರು
ಪೋಪ್ ಫ್ರಾನ್ಸಿಸ್ ದುಃಖದ ಬಗ್ಗೆ ಜಾಗತಿಕ ಉದಾಸೀನತೆಯನ್ನು ಖಂಡಿಸಿದ್ದಾರೆ,ಪೋಪ್ ಫ್ರಾನ್ಸಿಸ್ ಅವರು ಲ್ಯಾಂಪೆಡುಸಾದಲ್ಲಿ ಸತ್ತ ವಲಸಿಗರನ್ನು ಸ್ಮರಿಸುತ್ತಾರೆ
"ಉತ್ತರ, ದಕ್ಷಿಣ ಕೊರಿಯಾ ಮಾತುಕತೆಗೆ ಒಪ್ಪಿಗೆ","ಉತ್ತರ, ದಕ್ಷಿಣ ಕೊರಿಯಾ ಅಪರೂಪದ ಮಾತುಕತೆ ನಡೆಸುತ್ತವೆ"
